PATHWAY NAME                                                              |        NES |    p-VALUE | FDR q-VALUE | PATHWAY COMMENTS 
 
MAP00195_Photosynthesis                                                   |   1.808178 |   0.006148 |   0.936106 | GenMAPP 
MAP00193_ATP_synthesis                                                    |   1.807907 |   0.006148 |   0.312035 | GenMAPP 
MAP03070_Type_III_secretion_system                                        |   1.807907 |   0.006148 |   0.312035 | GenMAPP 
MAP00480_Glutathione_metabolism                                           |   1.784451 |   0.006550 |   0.307533 | GenMAPP 
tsp1Pathway                                                               |   1.745781 |   0.006452 |   0.364390 | BioCarta 
MAP00530_Aminosugars_metabolism                                           |   1.718360 |   0.008772 |   0.398735 | GenMAPP 
MAP00531_Glycosaminoglycan_degradation                                    |   1.672481 |   0.006652 |   0.555561 | GenMAPP 
Eicosanoid_Synthesis                                                      |   1.670913 |   0.016827 |   0.493969 | BioCarta 
integrinPathway                                                           |   1.670016 |   0.029412 |   0.442574 | BioCarta 
ANTI_CD44_UP                                                              |   1.669893 |   0.017204 |   0.398568 | Hogerkorp_et_al_2003 
compPathway                                                               |   1.667112 |   0.020964 |   0.372958 | Both the classic and alternative immune complement pathways promote inflammation, foreign cell lysis, and phagocytosis. 
ROS                                                                       |   1.661890 |   0.008715 |   0.357480 | Manually Curated 
il10Pathway                                                               |   1.660829 |   0.015152 |   0.333461 | BioCarta 
cell2cellPathway                                                          |   1.658456 |   0.015184 |   0.317720 | Epithelial cell adhesion proteins such as cadherins transduce signals into the cell via catenins, which alter cell shape and motility. 
HOXA9_DOWN                                                                |   1.639056 |   0.034325 |   0.350401 | Dorsam_et_al_2004 
neutrophilPathway                                                         |   1.637854 |   0.017467 |   0.332035 | BioCarta 
MAP00600_Sphingoglycolipid_metabolism                                     |   1.633033 |   0.024664 |   0.324921 | GenMAPP 
ST_G_alpha_i_Pathway_                                                     |   1.622053 |   0.030093 |   0.337305 | Signalling Transduction KE 
cell_adhesion_molecule_activity                                           |   1.615126 |   0.024554 |   0.340715 | OBSOLETE. Mediates the adhesion of the cell to other cells or to the extracellular matrix. 
SA_MMP_CYTOKINE_CONNECTION                                                |   1.614402 |   0.032328 |   0.325438 | SigmaAldrich 
stemPathway                                                               |   1.613335 |   0.023392 |   0.312335 | BioCarta 
KRAS_TOP100_KNOCKDOWN                                                     |   1.608271 |   0.020979 |   0.311160 | Cordero_et_al_2005 
ST_Ga13_Pathway                                                           |   1.601701 |   0.025641 |   0.314403 | Signalling Transduction KE 
th1th2Pathway                                                             |   1.601166 |   0.033543 |   0.302140 | BioCarta 
MAP00680_Methane_metabolism                                               |   1.600595 |   0.020704 |   0.291512 | GenMAPP 
MAP00910_Nitrogen_metabolism                                              |   1.591145 |   0.024283 |   0.304223 | GenMAPP 
ST_Gaq_Pathway                                                            |   1.582545 |   0.036117 |   0.312640 | Signalling Transduction KE 
extrinsicPathway                                                          |   1.576763 |   0.038217 |   0.315521 | The extrinsic prothrombin activation pathway requires the release of thromboplastin from damaged tissues to activate the blood clotting cascade. 
NFKB_REDUCED                                                              |   1.567614 |   0.055202 |   0.327648 | Hinata_et_al_2003 
il6Pathway                                                                |   1.563559 |   0.045929 |   0.326276 | BioCarta 
alternativePathway                                                        |   1.555325 |   0.034483 |   0.336909 | The alternative complement pathway is an antibody-independent mechanism of immune activation that results in cell lysis via the membrane attack complex. 
DOWNREG_BY_HOXA9                                                          |   1.550151 |   0.047191 |   0.339221 | Manually Curated 
MAP00340_Histidine_metabolism                                             |   1.543096 |   0.054113 |   0.348284 | GenMAPP 
reckPathway                                                               |   1.542822 |   0.043121 |   0.338817 | BioCarta 
il18Pathway                                                               |   1.539777 |   0.049407 |   0.336855 | BioCarta 
ifngPathway                                                               |   1.536723 |   0.025641 |   0.334758 | BLACK 
